TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,6.0,12.91
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,4.0,17.61
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_L_TEST,2,FALHOU_AO_MENOS_UMTESTE,15.0,23.61
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_P_Boot_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
